id,meal_name,링크,energy,protein,fat,cho,dish_type,main_ingredient_1,main_ingredient_2,chewing_stage,Unnamed: 10,main_ingredients
202220,돼지고기장조림A(냉동),https://www.foodpolis.kr/seniorfood/bestPrdStep/68335,#VALUE!,23.709,3.612,#VALUE!,,돼지고기,간장,1,,"['돼지고기', '간장']"
202326,맛있게부드러운소불고기,https://www.foodpolis.kr/seniorfood/bestPrdStep/68509,#VALUE!,165.4,#VALUE!,#VALUE!,,소고기,양파,1,,"['소고기', '양파']"
202340,메이플 맛있는 간장 닭갈비,https://www.foodpolis.kr/seniorfood/bestPrdStep/68582,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,닭고기,간장,1,,"['닭고기', '간장']"
202341,고운오징어젓(냉동),https://www.foodpolis.kr/seniorfood/bestPrdStep/68583,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,오징어,소금,1,,"['오징어', '소금']"
202350,효도쿡 간장 불고기구이,https://www.foodpolis.kr/seniorfood/bestPrdStep/68595,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,소고기,간장,1,,"['소고기', '간장']"
202351,효도쿡 고추장 닭갈비구이,https://www.foodpolis.kr/seniorfood/bestPrdStep/68598,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,닭고기,고추장,1,,"['닭고기', '고추장']"
202352,효도쿡 고추장 불고기구이,https://www.foodpolis.kr/seniorfood/bestPrdStep/68599,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,고추장,불고기,1,,"['고추장', '불고기']"
202355,화덕에 미치다 500도 고등어구이,https://www.foodpolis.kr/seniorfood/bestPrdStep/68604,0,0,0,0,,고등어,소금,1,,"['고등어', '소금']"
202361,정옥 땡초장,https://www.foodpolis.kr/seniorfood/bestPrdStep/68594,0,0,0,0,,고추,간장,1,,"['고추', '간장']"
202401,효도쿡 고추잡채,https://www.foodpolis.kr/seniorfood/bestPrdStep/68641,0,0,0,0,,고추,잡채,1,,"['고추', '잡채']"
202402,효도쿡 김치제육볶음,https://www.foodpolis.kr/seniorfood/bestPrdStep/68645,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,김치,돼지고기,1,,"['김치', '돼지고기']"
202403,효도쿡 소불고기,https://www.foodpolis.kr/seniorfood/bestPrdStep/68646,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,소고기,양파,1,,"['소고기', '양파']"
202405,샤르르샤브레 비트쇼콜라,https://www.foodpolis.kr/seniorfood/bestPrdStep/68643,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,비트,초콜릿,1,,"['비트', '초콜릿']"
202406,샤르르샤브레 통곡물-잇웍스,https://www.foodpolis.kr/seniorfood/bestPrdStep/68644,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,통곡물,잇웍스,1,,"['통곡물', '잇웍스']"
202413,행복한맛남 계란후라이,https://www.foodpolis.kr/seniorfood/bestPrdStep/68652,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,계란,식용유,1,,"['계란', '식용유']"
202414,행복한맛남 계란후라이(냉동),https://www.foodpolis.kr/seniorfood/bestPrdStep/68653,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,계란,식용유,1,,"['계란', '식용유']"
202415,효도쿡 마늘양념 닭갈비구이,https://www.foodpolis.kr/seniorfood/bestPrdStep/68655,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,닭고기,마늘양념,1,,"['닭고기', '마늘양념']"
202418,인삼죽,https://www.foodpolis.kr/seniorfood/bestPrdStep/68657,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,인삼,쌀,3,,"['인삼', '쌀']"
202422,효도쿡 돼지고기가지볶음,https://www.foodpolis.kr/seniorfood/bestPrdStep/68682,0,0,0,0,,돼지고기,가지,1,,"['돼지고기', '가지']"
